method,concurrency,exit_code,n_req,tok_s_per_user,tok_s_total,tok_s_per_gpu,ttft_ms,itl_ms,req_latency_ms,isl,osl
dspark-adaptive,4,0,100,128.72,482.09,30.13,569.49,7.85,14507.44,71.94,1764.36
dspark-fair,4,0,100,173.38,644.63,40.29,486.45,5.81,10933.39,71.94,1780.17
dspark-adaptive,8,0,100,148.95,1057.94,66.12,503.68,6.84,12386.31,71.94,1738.87
dspark-fair,8,0,100,157.58,1122.23,70.14,519.57,6.39,11786.93,71.94,1757.04
dspark-adaptive,16,0,128,140.23,1778.89,111.18,518.29,7.19,13798.26,71.57,1829.53
dspark-fair,16,0,128,140.33,1955.18,122.20,515.50,7.18,13320.66,71.57,1773.20
dspark-adaptive,32,0,256,125.41,3248.03,203.00,538.79,8.07,15991.84,79.22,1894.62
dspark-fair,32,0,256,128.90,3289.74,205.61,545.66,7.83,15439.53,79.22,1883.95
dspark-adaptive,64,0,512,107.68,5405.29,337.83,843.33,9.42,19490.19,80.90,1948.71
dspark-fair,64,0,512,117.29,6025.21,376.58,844.84,8.60,18041.57,80.90,1981.53
dspark-adaptive,128,0,1024,70.82,7518.19,469.89,810.78,14.81,29618.18,80.43,1919.62
dspark-fair,128,0,1024,90.76,9250.51,578.16,1270.71,11.36,23351.75,80.43,1926.53
dspark-adaptive,256,0,2048,68.74,8557.49,534.84,19405.89,17.34,51857.54,80.35,1917.95
dspark-fair,256,0,2048,76.24,9699.94,606.25,17727.72,14.86,45730.22,80.35,1913.39
dspark-adaptive,512,0,4096,60.96,8236.83,514.80,61720.51,26.71,109329.00,80.53,1919.70
dspark-fair,512,0,4096,66.92,8967.22,560.45,57291.79,23.54,99384.78,80.53,1920.75
